Chromosome,Start,End,Name,Start_b,End_b,Name_b,Score,Strand,Distance
chr11,101221068,101221743,3187,101226450,101228450,Ezh1,.,-,4708
chr11,101224349,101226689,3188,101226450,101228450,Ezh1,.,-,0
chr11,101251978,101255135,3189,101251743,101253743,Vps25,.,+,0
chr11,101259837,101261752,3190,101258567,101260567,Wnk4,.,+,0
chr11,101276036,101279830,3191,101277203,101279203,Cntd1,.,+,0
chr11,101299016,101304666,3192,101302267,101304267,Becn1,.,-,0
chr11,101314724,101318146,3193,101314251,101316251,Psme3,.,+,0
chr11,101416398,101418042,3194,101417433,101419433,Aarsd1,.,-,0
chr11,101423742,101426860,3195,101423085,101425085,Rundc1,.,+,0
chr11,101441673,101443879,3196,101440245,101442245,Rpl27,.,+,0
chr11,101448288,101450194,3197,101446412,101448412,Ifi35,.,+,0
chr11,101454106,101456189,3198,101446412,101448412,Ifi35,.,+,5695
chr11,101462066,101466925,3199,101466199,101468199,Vat1,.,-,0
chr11,101478796,101482198,3200,101466338,101468338,Rnd2,.,+,10459
chr11,101518206,101520485,3201,101550107,101552107,Nbr1,.,+,29623
chr11,101542734,101545825,3202,101550107,101552107,Nbr1,.,+,4283
chr11,101551968,101554291,3203,101550107,101552107,Nbr1,.,+,0
chr11,101567581,101569478,3204,101580242,101582242,Tmem106a,.,+,10765
chr11,101581003,101587044,3205,101580242,101582242,Tmem106a,.,+,0
chr11,101588781,101591444,3206,101580242,101582242,Tmem106a,.,+,6540
chr11,101626407,101628892,3207,101625949,101627949,Rdm1,.,+,0
chr11,101640665,101643086,3208,101625949,101627949,Rdm1,.,+,12717
chr11,101645105,101647120,3209,101663541,101665541,Arl4d,.,+,16422
chr11,101657321,101660380,3210,101663541,101665541,Arl4d,.,+,3162
chr11,101663242,101666393,3211,101663541,101665541,Arl4d,.,+,0
chr11,101672222,101677616,3212,101663541,101665541,Arl4d,.,+,6682
chr11,101732875,101734329,3213,101730956,101732956,Dhx8,.,+,0
chr11,101935199,101937006,3214,101950421,101952421,4930417O22Rik,.,+,13416
chr11,101983993,101986534,3215,101984791,101986791,Dusp3,.,-,0
chr11,102144493,102147675,3216,102143587,102145587,Nags,.,+,0
chr11,102155725,102156513,3217,102156407,102158407,Tmem101,.,-,0
chr11,102165151,102168251,3218,102156407,102158407,Tmem101,.,-,6745
chr11,102183436,102187873,3219,102185256,102187256,Lsm12,.,-,0
chr11,102228858,102231035,3220,102230172,102232172,Hdac5,.,-,0
chr11,102248910,102249807,3221,102246882,102248882,BC030867,.,+,29
chr11,102284707,102286814,3222,102282961,102284961,Tmub2,.,+,0
chr11,102294581,102298759,3223,102296629,102298629,Atxn7l3,.,-,0
chr11,102308554,102311059,3224,102319096,102321096,Ubtf,.,-,8038
chr11,102315770,102320921,3225,102319096,102321096,Ubtf,.,-,0
chr11,102374184,102377180,3226,102365281,102367281,Slc4a1,.,-,6904
chr11,102405480,102410398,3227,102407517,102409517,Slc25a39,.,-,0
chr11,102430385,102431947,3228,102428322,102430322,Grn,.,+,64
chr11,102513632,102516173,3229,102556158,102558158,Gpatch8,.,-,39986
chr11,102541195,102545582,3230,102556158,102558158,Gpatch8,.,-,10577
chr11,102552800,102558677,3231,102556158,102558158,Gpatch8,.,-,0
chr11,102558953,102559934,3232,102556158,102558158,Gpatch8,.,-,796
chr11,102696527,102698743,3233,102697725,102699725,Ccdc43,.,-,0
chr11,102879795,102881924,3234,102879244,102881244,Ccdc103,.,+,0
chr11,102923861,102925779,3235,102925124,102927124,Kif18b,.,-,0
chr11,103016213,103017199,3236,103017147,103019147,Dcakd,.,-,0
chr11,103027860,103030994,3237,103026562,103028562,Nmt1,.,+,0
chr11,103102946,103107322,3238,103101658,103103658,Plcd3,.,-,0
chr11,103114264,103118869,3239,103114325,103116325,Hexim1,.,+,0
chr11,103130161,103134480,3240,103131339,103133339,Hexim2,.,+,0
chr11,103138929,103143511,3241,103131339,103133339,Hexim2,.,+,5591
chr11,103245558,103247416,3242,103267401,103269401,Map3k14,.,-,19986
chr11,103259986,103262856,3243,103267401,103269401,Map3k14,.,-,4546
chr11,103265015,103268471,3244,103267401,103269401,Map3k14,.,-,0
chr11,103339182,103342831,3245,103342753,103344753,Gm11648,.,+,0
chr11,103343740,103348554,3246,103342753,103344753,Gm11648,.,+,0
chr11,103352920,103358372,3247,103363692,103365692,Arhgap27,.,-,5321
chr11,103362471,103363543,3248,103363692,103365692,Arhgap27,.,-,150
chr11,103410737,103413887,3249,103412664,103414664,Plekhm1,.,-,0
chr11,103688375,103692247,3250,103697710,103699710,Gosr2,.,-,5464
chr11,103696511,103698974,3251,103697710,103699710,Gosr2,.,-,0
chr11,103952981,103954816,3252,103954056,103956056,Nsf,.,-,0
chr11,103966571,103968130,3253,103964871,103966871,Arf2,.,+,0
chr11,104289571,104289952,3254,104229436,104231436,Mapt,.,+,58136
chr11,104292092,104294364,3255,104229436,104231436,Mapt,.,+,60657
chr11,104306806,104307325,3256,104229436,104231436,Mapt,.,+,75371
chr11,104309870,104311576,3257,104229436,104231436,Mapt,.,+,78435
chr11,104439504,104443840,3258,104442291,104444291,1700081L11Rik,.,-,0
chr11,104468245,104470397,3259,104442291,104444291,1700081L11Rik,.,-,23955
chr11,104548971,104551368,3260,104548663,104550663,Myl4,.,+,0
chr11,105125613,105127364,3261,105124425,105126425,Mettl2,.,+,0
chr11,105180331,105183741,3262,105179530,105181530,Tlk2,.,+,0
chr11,105943053,105947801,3263,105944147,105946147,Cyb561,.,-,0
chr11,106036191,106038567,3264,106034872,106036872,Dcaf7,.,+,0
chr11,106052599,106057545,3265,106064107,106066107,Taco1,.,+,6563
chr11,106064928,106067959,3266,106064107,106066107,Taco1,.,+,0
chr11,106083575,106084223,3267,106082902,106084902,Map3k3,.,+,0
chr11,106084344,106087149,3268,106082902,106084902,Map3k3,.,+,0
chr11,106134088,106136358,3269,106160142,106162142,Limd2,.,-,23785
chr11,106193719,106195483,3270,106193603,106195603,Strada,.,-,0
chr11,106213647,106219179,3271,106214926,106216926,Ddx42,.,+,0
chr11,106254758,106257715,3272,106254185,106256185,Psmc5,.,+,0
chr11,106271285,106273948,3273,106272972,106274972,Smarcd2,.,-,0
chr11,106460736,106464234,3274,106487796,106489796,Ern1,.,-,23563
chr11,106468776,106469750,3275,106487796,106489796,Ern1,.,-,18047
chr11,106485283,106488831,3276,106487796,106489796,Ern1,.,-,0
chr11,106500010,106502497,3277,106498991,106500991,Snord104,.,+,0
chr11,106554841,106559471,3278,106612930,106614930,Tex2,.,-,53460
chr11,106610275,106615281,3279,106612930,106614930,Tex2,.,-,0
chr11,106720543,106723285,3280,106715281,106717281,Pecam1,.,-,3263
chr11,106775484,106781563,3281,106779515,106781515,Polg2,.,-,0
chr11,106784873,106790947,3282,106787252,106789252,Ccdc45,.,+,0
chr11,106811920,106815459,3283,106788494,106790494,Ddx5,.,-,21427
chr11,106818305,106819797,3284,106788494,106790494,Ddx5,.,-,27812
chr11,106907306,106908535,3285,106920715,106922715,Smurf2,.,-,12181
chr11,106917027,106921596,3286,106920715,106922715,Smurf2,.,-,0
chr11,106956549,106959783,3287,106920715,106922715,Smurf2,.,-,33835
chr11,106981189,106982922,3288,106999525,107001525,Kpna2,.,-,16604
chr11,106996854,107001577,3289,106999525,107001525,Kpna2,.,-,0
chr11,107011476,107013464,3290,106999525,107001525,Kpna2,.,-,9952
chr11,107014143,107015535,3291,107026223,107028223,1810010H24Rik,.,+,10689
chr11,107027263,107029057,3292,107026223,107028223,1810010H24Rik,.,+,0
chr11,107129547,107133086,3293,107131922,107133922,Bptf,.,-,0
chr11,107188109,107189595,3294,107189381,107191381,Nol11,.,-,0
chr11,107198476,107199879,3295,107189381,107191381,Nol11,.,-,7096
chr11,107478969,107481496,3296,107477528,107479528,Psmd12,.,+,0
chr11,107538414,107539779,3297,107545960,107547960,Helz,.,+,6182
chr11,107544563,107548980,3298,107545960,107547960,Helz,.,+,0
chr11,108209171,108212895,3299,108343888,108345888,Prkca,.,-,130994
chr11,108240126,108243719,3300,108343888,108345888,Prkca,.,-,100170
chr11,108292863,108295642,3301,108343888,108345888,Prkca,.,-,48247
chr11,108305084,108308420,3302,108343888,108345888,Prkca,.,-,35469
chr11,108341464,108345823,3303,108343888,108345888,Prkca,.,-,0
chr11,108351678,108354314,3304,108343888,108345888,Prkca,.,-,5791
chr11,108377012,108378579,3305,108393297,108395297,Apoh,.,+,14719
chr11,108751528,108753838,3306,108918349,108920349,Axin2,.,+,164512
chr11,108910272,108910858,3307,108918349,108920349,Axin2,.,+,7492
chr11,108920054,108924314,3308,108918349,108920349,Axin2,.,+,0
chr11,109011232,109012331,3309,108918349,108920349,Axin2,.,+,90884
chr11,109177558,109180584,3310,109144369,109146369,E030025P04Rik,.,-,31190
chr11,109186476,109188016,3311,109144369,109146369,E030025P04Rik,.,-,40108
chr11,109311853,109313185,3312,109298181,109300181,Rgs9,.,-,11673
chr11,109331285,109333329,3313,109344867,109346867,1700096J18Rik,.,+,11539
chr11,109345842,109352739,3314,109344867,109346867,1700096J18Rik,.,+,0
chr11,109361706,109362654,3315,109360794,109362794,Gna13,.,+,0
chr11,109362838,109365719,3316,109363654,109365654,Gm11696,.,-,0
chr11,109425908,109426825,3317,109423946,109425946,Amz2,.,+,0
chr11,109439548,109440926,3318,109438078,109440078,LOC100503496,.,+,0
chr11,109470042,109474459,3319,109471374,109473374,Arsg,.,+,0
chr11,109498113,109499000,3320,109473596,109475596,Slc16a6,.,-,22518
chr11,109554015,109555139,3321,109611389,109613389,Wipi1,.,-,56251
chr11,109586216,109588940,3322,109611389,109613389,Wipi1,.,-,22450
chr11,109610186,109611659,3323,109611389,109613389,Wipi1,.,-,0
chr11,109650016,109653719,3324,109648949,109650949,Prkar1a,.,+,0
chr11,109701598,109703126,3325,109722256,109724256,Fam20a,.,-,19131
chr11,109705233,109706303,3326,109722256,109724256,Fam20a,.,-,15954
chr11,109719573,109724293,3327,109722256,109724256,Fam20a,.,-,0
chr11,109728353,109731688,3328,109722256,109724256,Fam20a,.,-,4098
chr11,109961918,109964723,3329,109995816,109997816,Abca8b,.,-,31094
chr11,110378857,110381150,3330,110397122,110399122,Map2k6,.,+,15973
chr11,110399658,110400769,3331,110397122,110399122,Map2k6,.,+,537
chr11,110404870,110407269,3332,110397122,110399122,Map2k6,.,+,5749
chr11,110426275,110428283,3333,110397122,110399122,Map2k6,.,+,27154
chr11,110475258,110478985,3334,110397122,110399122,Map2k6,.,+,76137
chr11,110543313,110545315,3335,110397122,110399122,Map2k6,.,+,144192
chr11,111064771,111068360,3336,111064164,111066164,Kcnj2,.,+,0
chr11,111686727,111689568,3337,111064164,111066164,Kcnj2,.,+,620564
chr11,112780706,112786866,3338,112780210,112782210,Sox9,.,+,0
chr11,112909787,112911507,3339,112780210,112782210,Sox9,.,+,127578
chr11,113083344,113088388,3340,113201838,113203838,2610035D17Rik,.,-,113451
chr11,113092002,113097235,3341,113201838,113203838,2610035D17Rik,.,-,104604
chr11,113100491,113102773,3342,113201838,113203838,2610035D17Rik,.,-,99066
chr11,113172043,113173393,3343,113201838,113203838,2610035D17Rik,.,-,28446
chr11,113197521,113202228,3344,113201838,113203838,2610035D17Rik,.,-,0
chr11,113208451,113210381,3345,113209669,113211669,4732490B19Rik,.,-,0
chr11,113258778,113261231,3346,113209669,113211669,4732490B19Rik,.,-,47110
chr11,113292915,113294674,3347,113209669,113211669,4732490B19Rik,.,-,81247
chr11,113564875,113565964,3348,113565815,113567815,Slc39a11,.,-,0
chr11,113630718,113633067,3349,113622257,113624257,Sstr2,.,+,6462
chr11,113648509,113651457,3350,113647529,113649529,Cog1,.,+,0
chr11,113681185,113685537,3351,113682412,113684412,D11Wsu47e,.,+,0
chr11,113746934,113752820,3352,113751815,113753815,Cdc42ep4,.,-,0
chr11,114668345,114671471,3353,114666543,114668543,Rpl38,.,+,0
chr11,114675197,114677936,3354,114673468,114675468,Ttyh2,.,+,0
chr11,115084533,115085692,3355,115089431,115091431,Rab37,.,+,3740
chr11,115163233,115168620,3356,115161341,115163341,Slc9a3r1,.,+,0
chr11,115173451,115174481,3357,115161341,115163341,Slc9a3r1,.,+,10111
chr11,115186336,115188192,3358,115185487,115187487,Tmem104,.,+,0
chr11,115218493,115220061,3359,115187316,115189316,Nat9,.,-,29178
chr11,115277108,115278422,3360,115276969,115278969,Fdxr,.,-,0
chr11,115345495,115351661,3361,115332734,115334734,Otop3,.,+,10762
chr11,115373052,115375030,3362,115367719,115369719,C630004H02Rik,.,-,3334
chr11,115403052,115405199,3363,115401766,115403766,Ict1,.,+,0
chr11,115411561,115414809,3364,115418126,115420126,Kctd2,.,+,3318
chr11,115418243,115423038,3365,115418126,115420126,Kctd2,.,+,0
chr11,115431266,115435044,3366,115438545,115440545,4933422H20Rik,.,+,3502
chr11,115446011,115450332,3367,115448060,115450060,Mir3968,.,-,0
chr11,115455125,115458241,3368,115460473,115462473,Slc16a5,.,+,2233
chr11,115461700,115464229,3369,115460473,115462473,Slc16a5,.,+,0
chr11,115473079,115477803,3370,115473677,115475677,Armc7,.,+,0
chr11,115490094,115492561,3371,115491814,115493814,Nt5c,.,-,0
chr11,115509747,115514521,3372,115514370,115516370,Hn1,.,-,0
chr11,115534031,115537587,3373,115536230,115538230,Sumo2,.,-,0
chr11,115563660,115565265,3374,115562444,115564444,Nup85,.,+,0
chr11,115584529,115587021,3375,115602151,115604151,Mrps7,.,+,15131
chr11,115601920,115605377,3376,115602151,115604151,Mrps7,.,+,0
chr11,115611333,115614061,3377,115612969,115614969,Mif4gd,.,-,0
chr11,115677199,115680991,3378,115708597,115710597,Grb2,.,-,27607
chr11,115706593,115709665,3379,115708597,115710597,Grb2,.,-,0
chr11,115715606,115718015,3380,115708597,115710597,Grb2,.,-,5010
chr11,115734385,115735081,3381,115708597,115710597,Grb2,.,-,23789
chr11,115736902,115739640,3382,115763433,115765433,2310067B10Rik,.,+,23794
chr11,115752294,115754960,3383,115763433,115765433,2310067B10Rik,.,+,8474
chr11,115763378,115767683,3384,115763433,115765433,2310067B10Rik,.,+,0
chr11,115777171,115781326,3385,115763433,115765433,2310067B10Rik,.,+,11739
chr11,115811813,115814483,3386,115812739,115814739,Tsen54,.,+,0
chr11,115822846,115828137,3387,115822058,115824058,Llgl2,.,+,0
chr11,115839362,115839822,3388,115822058,115824058,Llgl2,.,+,15305
chr11,115868666,115869761,3389,115898139,115900139,2210020M01Rik,.,+,28379
chr11,115876325,115880684,3390,115898139,115900139,2210020M01Rik,.,+,17456
chr11,115909956,115914548,3391,115910017,115912017,1110017F19Rik,.,+,0
chr11,115931899,115935224,3392,115931659,115933659,Sap30bp,.,+,0
chr11,115953213,115958598,3393,115972725,115974725,Itgb4,.,+,14128
chr11,115973672,115977763,3394,115972725,115974725,Itgb4,.,+,0
chr11,116003917,116006905,3395,116012719,116014719,Galk1,.,-,5815
chr11,116011064,116012921,3396,116012719,116014719,Galk1,.,-,0
chr11,116021472,116024757,3397,116024504,116026504,H3f3b,.,-,0
chr11,116028992,116032136,3398,116028322,116030322,Unk,.,+,0
chr11,116059051,116062759,3399,116077961,116079961,Unc13d,.,-,15203
chr11,116077044,116078889,3400,116077961,116079961,Unc13d,.,-,0
chr11,116084649,116089650,3401,116086964,116088964,Wbp2,.,-,0
chr11,116129741,116132185,3402,116131128,116133128,Trim65,.,-,0
chr11,116137054,116138961,3403,116138868,116140868,Mrpl38,.,-,0
chr11,116167233,116169017,3404,116168178,116170178,Fbf1,.,-,0
chr11,116194719,116200363,3405,116196855,116198855,2310004N24Rik,.,+,0
chr11,116207753,116212749,3406,116214002,116216002,Cdk3-ps,.,+,1254
chr11,116215478,116220877,3407,116214002,116216002,Cdk3-ps,.,+,0
chr11,116236452,116238242,3408,116238091,116240091,Evpl,.,-,0
chr11,116241312,116242826,3409,116238091,116240091,Evpl,.,-,1222
chr11,116246212,116247613,3410,116238091,116240091,Evpl,.,-,6122
chr11,116247659,116249038,3411,116238091,116240091,Evpl,.,-,7569
chr11,116272367,116275290,3412,116274217,116276217,Srp68,.,-,0
chr11,116305470,116307746,3413,116306738,116308738,Exoc7,.,-,0
chr11,116388562,116390278,3414,116413032,116415032,Rnf157,.,-,22755
chr11,116428097,116429615,3415,116432094,116434094,Fam100b,.,+,2480
chr11,116429675,116433366,3416,116432094,116434094,Fam100b,.,+,0
chr11,116434143,116435670,3417,116432213,116434213,Gm7367,.,+,0
chr11,116487982,116492489,3418,116490346,116492346,Prpsap1,.,-,0
chr11,116530671,116534967,3419,116529911,116531911,Sphk1,.,+,0
chr11,116622428,116624540,3420,116627019,116629019,Rhbdf2,.,-,2480
chr11,116670827,116674676,3421,116669660,116671660,1810032O08Rik,.,+,0
chr11,116682020,116684583,3422,116672597,116674597,Snord1a,.,+,7424
chr11,116692562,116695448,3423,116694660,116696660,St6galnac2,.,-,0
chr11,116752470,116755522,3424,116750167,116752167,BC018473,.,+,304
chr11,116841239,116845568,3425,116841515,116843515,1110005A03Rik,.,+,0
chr11,116849732,116855392,3426,116852015,116854015,Mfsd11,.,+,0
chr11,117076100,117077869,3427,117074783,117076783,2810008D09Rik,.,+,0
chr11,117085781,117091002,3428,117074783,117076783,2810008D09Rik,.,+,8999
chr11,117114031,117116974,3429,117113172,117115172,Sec14l1,.,+,0
chr11,117135312,117140034,3430,117113172,117115172,Sec14l1,.,+,20141
chr11,117176624,117179163,3431,117197661,117199661,Sept9,.,+,18499
chr11,117198787,117201005,3432,117197661,117199661,Sept9,.,+,0
chr11,117202741,117207169,3433,117197661,117199661,Sept9,.,+,3081
chr11,117284754,117285890,3434,117197661,117199661,Sept9,.,+,85094
chr11,117319902,117323109,3435,117197661,117199661,Sept9,.,+,120242
chr11,117331904,117335387,3436,117197661,117199661,Sept9,.,+,132244
chr11,117598526,117599933,3437,117609247,117611247,2900041M22Rik,.,+,9315
chr11,117653503,117656284,3438,117652289,117654289,Tnrc6c,.,+,0
chr11,117684193,117687229,3439,117652289,117654289,Tnrc6c,.,+,29905
chr11,117778236,117782446,3440,117780297,117782297,Tmc8,.,+,0
chr11,117789772,117793601,3441,117795660,117797660,6030468B19Rik,.,+,2060
chr11,117808870,117811828,3442,117807667,117809667,Syngr2,.,+,0
chr11,117827730,117830653,3443,117826014,117828014,Tk1,.,-,0
chr11,117837926,117839932,3444,117847237,117849237,Birc5,.,+,7306
chr11,117844550,117850903,3445,117847237,117849237,Birc5,.,+,0
chr11,117861206,117864555,3446,117858752,117860752,Cldn27,.,+,455
chr11,117871497,117873915,3447,117873526,117875526,Tha1,.,-,0
chr11,117881824,117882891,3448,117873526,117875526,Tha1,.,-,6299
chr11,117944770,117948290,3449,117969366,117971366,Socs3,.,-,21077
chr11,117949043,117950370,3450,117969366,117971366,Socs3,.,-,18997
chr11,117967726,117971357,3451,117969366,117971366,Socs3,.,-,0
chr11,117986113,117988602,3452,117984857,117986857,Pgs1,.,+,0
chr11,117997945,118001272,3453,117984857,117986857,Pgs1,.,+,11089
chr11,118009532,118009985,3454,117984857,117986857,Pgs1,.,+,22676
chr11,118034617,118035720,3455,117984857,117986857,Pgs1,.,+,47761
chr11,118145935,118146565,3456,118129219,118131219,Dnahc17,.,-,14717
chr11,118209413,118213125,3457,118248592,118250592,Cyth1,.,-,35468
chr11,118246416,118250129,3458,118248592,118250592,Cyth1,.,-,0
chr11,118288489,118291320,3459,118290244,118292244,Usp36,.,-,0
chr11,118399316,118404547,3460,118401931,118403931,Lgals3bp,.,-,0
chr11,118406314,118411607,3461,118401931,118403931,Lgals3bp,.,-,2384
chr11,118416400,118419151,3462,118419052,118421052,Cant1,.,-,0
chr11,118469258,118472393,3463,118474960,118476960,Engase,.,+,2568
chr11,118476884,118478132,3464,118474960,118476960,Engase,.,+,0
chr11,118988045,118989596,3465,118986188,118988188,Enpp7,.,+,0
chr11,119039882,119041105,3466,119040913,119042913,Cbx8,.,-,0
chr11,119052800,119053839,3467,119040913,119042913,Cbx8,.,-,9888
chr11,119055194,119059441,3468,119040913,119042913,Cbx8,.,-,12282
chr11,119084694,119087072,3469,119086237,119088237,Cbx4,.,-,0
chr11,119105128,119106613,3470,119086237,119088237,Cbx4,.,-,16892
chr11,119123665,119129465,3471,119086237,119088237,Cbx4,.,-,35429
chr11,119214936,119217071,3472,119226572,119228572,Ccdc40,.,+,9502
chr11,119267641,119268841,3473,119265967,119267967,Gaa,.,+,0
chr11,119280309,119282255,3474,119265967,119267967,Gaa,.,+,12343
chr11,119298407,119301044,3475,119300043,119302043,Eif4a3,.,-,0
chr11,119313068,119316150,3476,119312787,119314787,Card14,.,+,0
chr11,119354594,119356331,3477,119353557,119355557,Slc26a11,.,+,0
chr11,119389259,119395987,3478,119388472,119390472,Mir1932,.,+,0
chr11,119490058,119493276,3479,119489347,119491347,A730011L01Rik,.,+,0
chr11,119602257,119604332,3480,119600995,119602995,Rptor,.,+,0
chr11,119912442,119918112,3481,119911810,119913810,Chmp6,.,+,0
chr11,119954218,119956305,3482,119941092,119943092,Baiap2,.,+,11127
chr11,120097222,120100841,3483,120096934,120098934,1810043H04Rik,.,+,0
chr11,120149327,120152118,3484,120151351,120153351,Slc38a10,.,-,0
chr11,120183787,120190075,3485,120189856,120191856,2810410L24Rik,.,-,0
chr11,120218385,120225307,3486,120230947,120232947,Bahcc1,.,+,5641
chr11,120230790,120231618,3487,120230947,120232947,Bahcc1,.,+,0
chr11,120232966,120238299,3488,120230947,120232947,Bahcc1,.,+,20
chr11,120315364,120317904,3489,120346678,120348678,0610009L18Rik,.,+,28775
chr11,120346311,120352352,3490,120346678,120348678,0610009L18Rik,.,+,0
chr11,120353921,120354173,3491,120348484,120350484,Actg1,.,-,3438
chr11,120368946,120370574,3492,120359534,120361534,Fscn2,.,+,7413
chr11,120377701,120379487,3493,120378746,120380746,2310003H01Rik,.,-,0
chr11,120435578,120438398,3494,120437700,120439700,Nploc4,.,-,0
chr11,120456905,120459197,3495,120456129,120458129,Ccdc137,.,+,0
chr11,120466438,120469619,3496,120465635,120467635,Hgs,.,+,0
chr11,120484134,120486239,3497,120482669,120484669,Mrpl12,.,+,0
chr11,120489563,120494075,3498,120489837,120491837,Slc25a10,.,+,0
chr11,120499233,120501481,3499,120489837,120491837,Slc25a10,.,+,7397
chr11,120506086,120507947,3500,120489837,120491837,Slc25a10,.,+,14250
chr11,120509427,120511478,3501,120528727,120530727,Gcgr,.,+,17250
chr11,120515746,120516526,3502,120528727,120530727,Gcgr,.,+,12202
chr11,120517600,120518719,3503,120528727,120530727,Gcgr,.,+,10009
chr11,120545926,120550771,3504,120549727,120551727,Fam195b,.,-,0
chr11,120554112,120555969,3505,120551132,120553132,Ppp1r27,.,-,981
chr11,120570487,120573022,3506,120572936,120574936,P4hb,.,-,0
chr11,120573178,120574739,3507,120572936,120574936,P4hb,.,-,0
chr11,120579923,120582893,3508,120581620,120583620,Arhgdia,.,-,0
chr11,120596367,120599421,3509,120596421,120598421,Anapc11,.,+,0
chr11,120614943,120619203,3510,120617890,120619890,Pcyt2,.,-,0
chr11,120623570,120625893,3511,120625002,120627002,Sirt7,.,-,0
chr11,120629384,120634566,3512,120633547,120635547,Mafg,.,-,0
chr11,120672121,120675858,3513,120670973,120672973,Aspscr1,.,+,0
chr11,120678559,120681412,3514,120670973,120672973,Aspscr1,.,+,5587
chr11,120691265,120695484,3515,120711953,120713953,Lrrc45,.,+,16470
chr11,120712390,120715213,3516,120711953,120713953,Lrrc45,.,+,0
chr11,120761923,120763939,3517,120782272,120784272,Gps1,.,+,18334
chr11,120779684,120785477,3518,120782272,120784272,Gps1,.,+,0
chr11,120795179,120797266,3519,120796395,120798395,Dus1l,.,-,0
chr11,120821628,120825695,3520,120824547,120826547,Fasn,.,-,0
chr11,120849892,120852155,3521,120824547,120826547,Fasn,.,-,23346
chr11,120901483,120904963,3522,120932872,120934872,Ccdc57,.,-,27910
chr11,120931997,120933619,3523,120932872,120934872,Ccdc57,.,-,0
chr11,120947569,120951042,3524,120946484,120948484,Slc16a3,.,+,0
chr11,120989845,120993302,3525,120991333,120993333,Csnk1d,.,-,0
chr11,121051395,121054228,3526,121063569,121065569,Sectm1b,.,-,9342
chr11,121056069,121059190,3527,121063569,121065569,Sectm1b,.,-,4380
chr11,121062861,121064611,3528,121063569,121065569,Sectm1b,.,-,0
chr11,121092461,121093432,3529,121081139,121083139,Sectm1a,.,-,9323
chr11,121101746,121102643,3530,121118677,121120677,Tex19.2,.,-,16035
chr11,121204162,121205903,3531,121202433,121204433,Hexdc,.,+,0
chr11,121228011,121230110,3532,121229309,121231309,BC017643,.,-,0
chr11,121235531,121238927,3533,121235236,121237236,Narf,.,+,0
chr11,121258869,121261929,3534,121257987,121259987,Foxk2,.,+,0
chr11,121327596,121328464,3535,121354447,121356447,Wdr45l,.,-,25984
chr11,121352880,121355510,3536,121354447,121356447,Wdr45l,.,-,0
chr11,121420642,121422305,3537,121419373,121421373,Fn3krp,.,+,0
chr11,121451107,121453309,3538,121449949,121451949,Tbcd,.,+,0
chr11,121544216,121544918,3539,121519342,121521342,Zfp750,.,-,22875
chr11,121671974,121674393,3540,121673151,121675151,B3gntl1,.,-,0
chr11,121678848,121681554,3541,121673151,121675151,B3gntl1,.,-,3698
chr11,121702314,121705449,3542,121700427,121702427,Metrnl,.,+,0
chr11,121712452,121713047,3543,121700427,121702427,Metrnl,.,+,10026
chr11,121713212,121715514,3544,121700427,121702427,Metrnl,.,+,10786
chr11,121739392,121743847,3545,121700427,121702427,Metrnl,.,+,36966
chr11,121797388,121801624,3546,121828218,121830218,Ptchd3,.,+,26595
chr11,121847309,121848696,3547,121828218,121830218,Ptchd3,.,+,17092
chr12,3109619,3110302,3548,3233791,3235791,1700012B15Rik,.,+,123490
chr12,3234732,3236558,3549,3233791,3235791,1700012B15Rik,.,+,0
chr12,3282440,3286231,3550,3309969,3311969,Rab10,.,-,23739
chr12,3306607,3311199,3551,3309969,3311969,Rab10,.,-,0
chr12,3425318,3429013,3552,3424857,3426857,Asxl2,.,+,0
chr12,3499399,3501040,3553,3570391,3572391,Dtnb,.,+,69352
chr12,3806132,3809208,3554,3804980,3806980,Dnmt3a,.,+,0
chr12,3890678,3893530,3555,3862244,3864244,Gm10485,.,-,26435
chr12,4219075,4221972,3556,4232027,4234027,2410017P09Rik,.,+,10056
chr12,4232256,4235804,3557,4232027,4234027,2410017P09Rik,.,+,0
chr12,4475377,4478566,3558,4477182,4479182,Ncoa1,.,-,0
chr12,4592241,4595224,3559,4591008,4593008,Itsn2,.,+,0
chr12,4816576,4818827,3560,4815608,4817608,0610009D07Rik,.,+,0
chr12,4903282,4909002,3561,4907520,4909520,Ubxn2a,.,-,0
chr12,4916503,4920192,3562,4915353,4917353,Atad2b,.,+,0
chr12,5212692,5214560,3563,5374502,5376502,2810032G03Rik,.,+,159943
chr12,5281900,5285300,3564,5374502,5376502,2810032G03Rik,.,+,89203
chr12,7909079,7911524,3565,7975677,7977677,Apob,.,+,64154
chr12,7917810,7920933,3566,7975677,7977677,Apob,.,+,54745
chr12,7976903,7982162,3567,7975677,7977677,Apob,.,+,0
chr12,8089020,8090825,3568,7975677,7977677,Apob,.,+,111344
chr12,8207180,8210061,3569,8206107,8208107,1110057K04Rik,.,+,0
chr12,8215810,8217651,3570,8206107,8208107,1110057K04Rik,.,+,7704
chr12,8312638,8314669,3571,8311433,8313433,Hs1bp3,.,+,0
chr12,8350172,8354082,3572,8311433,8313433,Hs1bp3,.,+,36740
chr12,8357313,8360912,3573,8311433,8313433,Hs1bp3,.,+,43881
chr12,8365151,8368149,3574,8311433,8313433,Hs1bp3,.,+,51719
chr12,8369947,8375310,3575,8311433,8313433,Hs1bp3,.,+,56515
